germplasmName,ent
Branson,1
MO080104,2
Hilliard,3
Pio 25R46,4
ARS16W0574,5
KWS340,6
KWS341,7
KWS361,8
05247A1-7-3-98,9
10523RA1-21-42,10
05251A1-1-136-9-9,11
X12-3010-4-4-1,12
X11-0357-24-13-5,13
X11-0039-1-17-5,14
TWR 09009,15
TWR 09014,16
TWR 09052,17
IL16-23972,18
US16-IL-061-029,19
IL15-4957,20
NS16VW516463,21
LES19-7191,22
LES19-0387,23
16VDH-SRW03-023,24
DH15SRW65-53,25
DH15SRW67-151,26
AR11051-15-3,27
ARDH13216-12,28
ARDH14002-22-0260N,29
MI18R0875,30
MI18R1605,31
20-UMD-133,32
20-UMD-20,33
20-UMD-18,34
CV,50
LSD,51
MEAN,52
No. of Reps,53
SE,54